Nyx,Nyx::remove_virtual_particles(),BR,BR_INST_RETIRED:NEAR_RETURN,0.20429766848121186
Nyx,Nyx::remove_virtual_particles(),BR,BR_MISP_RETIRED:ALL_BRANCHES,0.5231538777458227
Nyx,Nyx::remove_virtual_particles(),BR,BR_MISP_RETIRED:CONDITIONAL,1.0
Nyx,Nyx::remove_virtual_particles(),TLB,DTLB_LOAD_MISSES:PDE_CACHE_MISS,1.0
Nyx,Nyx::remove_virtual_particles(),TLB,PAGE_WALKER_LOADS:DTLB_L1,0.5300021665267199
Nyx,Nyx::remove_virtual_particles(),TLB,PAGE_WALKER_LOADS:DTLB_L3,0.012125175523611125
Nyx,Nyx::remove_virtual_particles(),STALL,LD_BLOCKS:STORE_FORWARD,1.0
Nyx,Nyx::remove_virtual_particles(),STALL,LD_BLOCKS_PARTIAL:ADDRESS_ALIAS,0.29766455866905833
Nyx,Nyx::remove_virtual_particles(),STALL,RESOURCE_STALLS:ROB,0.35439886030529794
Nyx,Nyx::remove_virtual_particles(),L1,L1D_PEND_MISS:FB_FULL,0.9793939871631359
Nyx,Nyx::remove_virtual_particles(),L1,L1D_PEND_MISS:REQUEST_FB_FULL,1.0
Nyx,Nyx::remove_virtual_particles(),MEM,MACHINE_CLEARS:MEMORY_ORDERING,0.0014080342969835992
Nyx,Nyx::remove_virtual_particles(),MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_DRAM,0.18523976260503774
Nyx,Nyx::remove_virtual_particles(),MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:REMOTE_HITM,1.0
Nyx,Nyx::remove_virtual_particles(),UOPS,MOVE_ELIMINATION:INT_ELIMINATED,0.0829921510810203
Nyx,Nyx::remove_virtual_particles(),UOPS,MOVE_ELIMINATION:INT_NOT_ELIMINATED,1.0
Nyx,Nyx::remove_virtual_particles(),OFFCORE,OFFCORE_REQUESTS_OUTSTANDING:DEMAND_RFO,1.0
Nyx,Nyx::setup_virtual_particles(),BR,BR_MISP_EXEC:ALL_CONDITIONAL,1.0
Nyx,Nyx::setup_virtual_particles(),BR,BR_MISP_EXEC:ALL_INDIRECT_JUMP_NON_CALL_RET,0.012406933333263094
Nyx,Nyx::setup_virtual_particles(),BR,BR_MISP_RETIRED:ALL_BRANCHES,0.25109208863145355
Nyx,Nyx::setup_virtual_particles(),BR,BR_MISP_RETIRED:CONDITIONAL,0.24651583349582676
Nyx,Nyx::setup_virtual_particles(),TLB,DTLB_LOAD_MISSES:PDE_CACHE_MISS,0.06709744368686156
Nyx,Nyx::setup_virtual_particles(),TLB,DTLB_LOAD_MISSES:WALK_DURATION,1.0
Nyx,Nyx::setup_virtual_particles(),TLB,DTLB_STORE_MISSES:PDE_CACHE_MISS,0.23336804597135033
Nyx,Nyx::setup_virtual_particles(),STALL,ILD_STALL:IQ_FULL,0.7109813313869532
Nyx,Nyx::setup_virtual_particles(),STALL,LD_BLOCKS:STORE_FORWARD,1.0
Nyx,Nyx::setup_virtual_particles(),FE,IDQ:MS_UOPS,0.4350089511690704
Nyx,Nyx::setup_virtual_particles(),FE,ITLB_MISSES:WALK_DURATION,0.05766758781041206
Nyx,Nyx::setup_virtual_particles(),FE,RS_EVENTS:EMPTY_END,1.0
Nyx,Nyx::setup_virtual_particles(),FE,UOPS_ISSUED:ANY,0.5761628111689218
Nyx,Nyx::setup_virtual_particles(),MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,Nyx::setup_virtual_particles(),MEM,MEM_LOAD_UOPS_RETIRED:L2_MISS,0.09029374885285227
Nyx,Nyx::setup_virtual_particles(),MEM,MEM_LOAD_UOPS_RETIRED:L3_MISS,0.9685135416862451
Nyx,Nyx::setup_virtual_particles(),UOPS,MOVE_ELIMINATION:INT_ELIMINATED,1.0
Nyx,Nyx::setup_virtual_particles(),UOPS,MOVE_ELIMINATION:INT_NOT_ELIMINATED,0.008080097582485572
Nyx,Nyx::setup_virtual_particles(),UOPS,UOPS_ISSUED:FLAGS_MERGE,0.010239231586135374
Nyx,Nyx::setup_virtual_particles(),UOPS,UOPS_ISSUED:SLOW_LEA,0.34872526981157714
Nyx,Nyx::strang_hydro(),TLB,DTLB_STORE_MISSES:WALK_COMPLETED,0.7673168676832082
Nyx,Nyx::strang_hydro(),TLB,TLB_FLUSH:STLB_ANY,1.0
Nyx,Nyx::strang_hydro(),STALL,ILD_STALL:LCP,1.0
Nyx,Nyx::strang_hydro(),FE,IDQ:MS_UOPS,1.0
Nyx,Nyx::strang_hydro(),ATOMIC,LOCK_CYCLES:SPLIT_LOCK_UC_LOCK_DURATION,1.0
Nyx,Nyx::strang_hydro(),MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,0.07757711239435279
Nyx,Nyx::strang_hydro(),MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HITM,1.0
Nyx,passive_advection,TLB,DTLB_STORE_MISSES:WALK_COMPLETED,1.0
Nyx,passive_advection,TLB,PAGE_WALKER_LOADS:DTLB_L1,0.2793226841227889
Nyx,passive_advection,TLB,PAGE_WALKER_LOADS:DTLB_L2,0.09097257052416345
Nyx,passive_advection,TLB,PAGE_WALKER_LOADS:DTLB_L3,0.2986667315156153
Nyx,passive_advection,MEM,MEM_LOAD_UOPS_L3_HIT_RETIRED:XSNP_HIT,1.0
Nyx,passive_advection,MEM,MEM_UOPS_RETIRED:STLB_MISS_STORES,0.3890549429526032
Nyx,x_direction,TLB,DTLB_STORE_MISSES:WALK_DURATION,0.06575944648509993
Nyx,x_direction,TLB,PAGE_WALKER_LOADS:DTLB_L1,1.0
Nyx,x_direction,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,y_direction,TLB,TLB_FLUSH:STLB_ANY,1.0
Nyx,y_direction,MEM,MEM_LOAD_UOPS_L3_MISS_RETIRED:LOCAL_DRAM,1.0
Nyx,y_direction,MEM,MEM_LOAD_UOPS_RETIRED:L3_MISS,0.149984584418833
