,20kx1k,20kx4k,50kx1k,50kx4k
L2_RQSTS:ALL_CODE_RD,"176095,375839,413540,516018,703428,820478","1696350,2571178,2930198,3626310,4395677,5009408","400401,726450,766431,906551,1165067,1239288","4161168,5773466,6152500,7263179,8176431,9216358"
L2_RQSTS:CODE_RD_HIT,"293,11040,16063,22826,43248,61716","2108,43058,71925,98011,185234,240855","486,9436,25668,47165,95523,125938","4443,38773,119715,190375,379772,529829"
L2_RQSTS:CODE_RD_MISS,"175730,364754,400015,494177,661909,760495","1722672,2525030,2880343,3490664,4202056,4788382","395665,704953,742867,869232,1085707,1117076","4089919,5628975,6015827,7071605,7800312,8744061"
L2_RQSTS:ALL_PF,"667642283,877511359,844589975,843573327,858465170,875856290","9293623363,11963170141,11591719631,11554818669,10757430258,10481865099","1770285415,2233331692,2162692444,2149745134,2159091437,2190058990","24723972655,31233402835,30250465854,30185032568,27973803319,27460610338"
L2_RQSTS:PF_HIT,"459348517,606687126,614665040,609172991,605591255,613916116","5992589025,7872376043,8702463253,8509974111,8567200073,8345714337","1170698055,1517038312,1504100893,1474142108,1448752129,1472988361","15986374543,20341132628,22294684184,21914723153,21950898084,21492322557"
L2_RQSTS:PF_MISS,"208190186,270941736,229909961,234257778,252568039,253767503","3310295327,4101672576,2893143406,3044323278,2189950093,2164906263","599708087,715023129,657800310,675401923,709659600,717136613","8733784754,10844306843,7955584755,8271986118,6019662598,5963387558"
L2_RQSTS:ALL_DEMAND_REFERENCES,"232266372,273827425,260162406,270717082,301816918,314307238","1811021324,2945016628,2496725276,2566714048,2562720040,2578547376","583012876,696401881,669426353,700111176,761335254,781864790","4595891780,7690498155,6553888440,6747132846,6582746384,6770759559"
L2_RQSTS:ALL_DEMAND_MISS,"70782209,44973002,25148544,26546467,32914704,40904855","420534277,632406465,389142948,427117713,258528545,259042041","180508637,157762789,93650849,98751479,114181270,121678960","1130265346,1801536756,1104800957,1171662731,762923137,751765279"
L2_RQSTS:REFERENCES,"899657904,1151348905,1103652918,1114372665,1159938215,1198242410","11116805796,14903218489,14102567039,14121761894,13321389490,12982218751","2350096327,2929006603,2831051863,2849292960,2920581575,3016949296","29325809598,38972862728,36801593640,36928280224,34550514194,34219704104"
L2_RQSTS:MISS,"279011911,316147976,254459387,260741665,285749758,302172867","3733713784,4737804672,3283974876,3471261957,2449009161,2424626432","777116376,873547504,751491262,773675108,823439010,857831719","9868921573,12666357327,9064503810,9430251153,6782506934,6714437622"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"81438778,50117643,29387269,29837897,34190796,40856364","346159074,648330380,330240520,380398311,238080600,241965145","206393606,187490623,123638420,126347405,139302570,144004928","961869457,1918272803,1054670450,1155309010,804212313,806122363"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"4859525,8755502,4469758,5192555,8323870,9631686","159050251,192195594,139545519,140387235,60236723,56170893","19836706,21983002,9909640,11809310,16003332,18154461","408336284,469448756,336315538,332290166,127439938,109005274"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"175725,361902,394099,493213,666095,752351","1662586,2526406,2787236,3472695,4164160,4740698","404916,686295,728727,860556,1083183,1146589","4155804,5669523,5923918,7117303,7695951,8631937"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"144837732,178673704,166238269,167897797,173042273,179109222","2303208252,2379762635,1889046861,1879320167,1484641213,1431082019","403032208,469233442,477188576,484248813,494357422,514432311","6052453175,6388439782,5250910775,5170018961,4142285507,4072116441"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"22361781,33380716,26418098,29739811,41643506,46470665","228573178,349049453,319623568,341438553,255001904,274252845","66373982,67698677,63086710,73279498,91493553,109689242","641881680,868922735,765578889,849746627,566697725,564496526"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"25235988,44084532,26895817,26959426,26486175,24936353","686846270,1163197399,587449779,713136129,403123998,411267103","82247088,126574845,76449418,76737133,80249677,70174880","1796774377,2970568178,1609236426,1917734659,1124229258,1147573521"
Runtime,"1.16342,0.793408,0.392314,0.343888,0.346774,0.368626","15.1363,9.79582,4.05927,3.33793,2.83038,2.70991","3.14386,2.02903,1.02316,0.947404,0.880022,0.901301","39.9428,25.7676,10.6445,9.71602,7.89893,7.70057"
