OpenBLAS,
cycles,instructions,m,n,k,threads,
258215801526,761775392618,50000,30000,10000,4,
84126952859,248745766789,50000,30000,10000,12,
45417047554,129093227840,50000,30000,10000,24,
26573939507,61695474173,50000,30000,10000,48,
26663243995,60783507560,50000,30000,10000,72,
27076693937,59429239092,50000,30000,10000,96,
766375931751,2291530126209,50000,30000,30000,4,
250101735465,744798031622,50000,30000,30000,12,
130285160460,371152476539,50000,30000,30000,24,
85102355159,168282447860,50000,30000,30000,48,
80325264518,172911894733,50000,30000,30000,72,
81932421128,169956707155,50000,30000,30000,96,
1271793267339,3791107398558,50000,30000,50000,4,
413580573018,1238155515635,50000,30000,50000,12,
203953303494,606407436385,50000,30000,50000,24,
109239911752,312333672809,50000,30000,50000,48,
112925578134,311885910569,50000,30000,50000,72,
113145438481,309504717342,50000,30000,50000,96,
426848809658,1273723275704,50000,50000,10000,4,
140110149748,415404012429,50000,50000,10000,12,
77901409235,200129413610,50000,50000,10000,24,
58418608197,76483737968,50000,50000,10000,48,
59291194070,77009261760,50000,50000,10000,72,
57280038041,76604656694,50000,50000,10000,96,
1275091062360,3812318146177,50000,50000,30000,4,
414916285396,1240324914916,50000,50000,30000,12,
220310925543,634076854821,50000,50000,30000,24,
137671546297,282015665212,50000,50000,30000,48,
140620799507,278987056413,50000,50000,30000,72,
136412582104,281497702569,50000,50000,30000,96,
1986096773870,6041828685646,50000,50000,50000,4,
679615202435,2069364919401,50000,50000,50000,12,
354082347360,1072987087657,50000,50000,50000,24,
177393936127,515757297659,50000,50000,50000,48,
178215677714,512916424097,50000,50000,50000,72,
179424166098,518299234108,50000,50000,50000,96,
