OpenBLAS,
time,m,n,k,threads,
44.2782,30000,50000,30000,24,
50.5435,30000,50000,30000,48,
50.3518,30000,50000,30000,72,
49.8782,30000,50000,30000,96,
359.665,30000,50000,50000,4,
128.696,30000,50000,50000,12,
72.3725,30000,50000,50000,24,
59.4807,30000,50000,50000,48,
57.8575,30000,50000,50000,72,
55.6874,30000,50000,50000,96,
24.6194,50000,10000,10000,4,
9.44163,50000,10000,10000,12,
5.55775,50000,10000,10000,24,
5.08875,50000,10000,10000,48,
5.73233,50000,10000,10000,72,
4.90034,50000,10000,10000,96,
74.7134,50000,10000,30000,4,
26.6407,50000,10000,30000,12,
15.5245,50000,10000,30000,24,
14.6301,50000,10000,30000,48,
14.6443,50000,10000,30000,72,
14.6583,50000,10000,30000,96,
124.332,50000,10000,50000,4,
44.2814,50000,10000,50000,12,
24.1032,50000,10000,50000,24,
16.7731,50000,10000,50000,48,
17.3378,50000,10000,50000,72,
16.7706,50000,10000,50000,96,
76.8069,50000,30000,10000,4,
28.2144,50000,30000,10000,12,
15.2886,50000,30000,10000,24,
13.1303,50000,30000,10000,48,
13.2283,50000,30000,10000,72,
12.8875,50000,30000,10000,96,
219.422,50000,30000,30000,4,
78.3217,50000,30000,30000,12,
44.2719,50000,30000,30000,24,
37.9252,50000,30000,30000,48,
36.8728,50000,30000,30000,72,
36.4545,50000,30000,30000,96,
366.511,50000,30000,50000,4,
129.738,50000,30000,50000,12,
70.036,50000,30000,50000,24,
48.9507,50000,30000,50000,48,
49.7398,50000,30000,50000,72,
50.1997,50000,30000,50000,96,
121.994,50000,50000,10000,4,
44.01,50000,50000,10000,12,
26.7286,50000,50000,10000,24,
26.5194,50000,50000,10000,48,
23.6286,50000,50000,10000,72,
23.9055,50000,50000,10000,96,
361.063,50000,50000,30000,4,
129.634,50000,50000,30000,12,
74.8023,50000,50000,30000,24,
59.6207,50000,50000,30000,48,
60.0589,50000,50000,30000,72,
60.1395,50000,50000,30000,96,
588.983,50000,50000,50000,4,
209.273,50000,50000,50000,12,
112.906,50000,50000,50000,24,
76.3146,50000,50000,50000,48,
76.3144,50000,50000,50000,72,
75.7188,50000,50000,50000,96,
