,10kx10k,10kx30k,20kx10k,20kx30k,30kx10k,30kx30k
L2_RQSTS:ALL_DEMAND_DATA_RD,"6231971912,6442307091,6769578474,7230139837,9853752195,9272762566","19772626002,18828528491,19467710917,20340028524,23878145444,25551522443","25790031284,26886210310,26912262619,28879799043,27946177264,29272216300","77989329875,75888669903,79467595477,82320631790,89842835423,102110231623","56726832645,57752943013,60772583769,65441596590,63702106417,71150867090","179783842843,173394902537,177700817011,181869254007,209195384494,230555854029"
L2_RQSTS:DEMAND_DATA_RD_HIT,"6178905385,6278180701,24360980403,7164940036,25012143906,8854367339","19576924179,18548200206,102367296635,20076197507,147038427505,25139170143","25559035817,26118600424,26333929745,56881459158,113143783265,28962738400","77438698595,75318966223,611427798793,81220408693,561622417996,99852923824","56358764835,213909124711,628586795579,555709979976,252607427789,211483222264","178281446768,169525117276,331760934472,179752322979,206055785975,226469067072"
L2_RQSTS:DEMAND_DATA_RD_MISS,"53430186,73160603,144769405,209759008,348768580,497112182","199073651,178896621,225200242,286110077,436008934,574793112","228795428,346416438,523242359,776762137,223889534,304545963","583374254,579524455,846849401,973461127,1551942477,2132082637","370194124,628897415,1169318343,1719474035,429690429,505885894","1496276260,1082537785,1733797459,2048601476,3447707569,4562148327"
L2_RQSTS:ALL_RFO,"349600209,395648141,492781623,593365634,796303983,940694276","1033588200,1068626280,1185056141,1287309517,1484274007,1636930770","1353257390,1536575775,1920433269,2323780163,2248264872,2586091096","4048672480,4196555039,4607652896,5033578968,5799637146,6412961186","3081077879,3476189641,4356521752,5263402528,4347683524,4827799415","9182296201,9512436053,10444038862,11360013960,13121562270,14510612443"
L2_RQSTS:RFO_HIT,"166577111,192998469,284376278,377784375,555765289,664727427","437292369,484407721,580773507,673704841,871773877,996876279","581031159,719420452,1083308318,1456435849,1418128840,1711654380","1725076692,1766955761,2115569656,2511315456,3338484090,3856834004","1436760837,1725184666,2555906228,3402476760,2624611906,3022999872","3900210132,4399853712,5115973151,6098605060,7777665233,9123433012"
L2_RQSTS:RFO_MISS,"183004935,18225947353,25724875609,215345998,241001850,275289671","595956459,53899891640,604603226,615036428,50044334305,642427138","772228719,810443266,51043769981,869655189,828482045,870473136","2322797130,432820320323,146109078306,395408277454,2458757774,2555695107","1644389009,1751722343,1799317853,1855117093,1723194607,1806855380","5282327073,5111004362,1633237811353,5259377078,69599597335,370637782614"
L2_RQSTS:ALL_CODE_RD,"680450,918861,1532216,2405087,4534569,7010181","1854607,2584850,2683829,3533691,6476175,9751488","2905829,4206226,6347886,8724691,15719580,19686848","7666223,8516571,14573197,14466293,23329561,38786248","5433942,7661801,12668459,18289558,31489603,29946522","15793855,19446514,23297810,30916364,53166103,82487903"
L2_RQSTS:CODE_RD_HIT,"2264,2004,3722,7022,23897,59792","3849,14560,5612,13017,39838,91317","2537,21805,9745,45327,93061,150118","29844,23985,31911,44043,80705,436039","9033,12351,27519,38150,151728,192234","13868,64246,38121,63045,213911,598647"
L2_RQSTS:CODE_RD_MISS,"694582,861755,1615945,2359962,4444157,6894012","1716909,2467808,2728575,3511057,6513762,9579343","2768139,4212313,6262523,8599913,15429203,19367354","7766519,8606047,14033677,14205192,23310940,39948254","5117962,7429048,12508269,17975779,31619202,29600535","14604373,21173788,22808259,30098805,52869091,79658871"
L2_RQSTS:ALL_PF,"20724655938,46357207957,20409994655,20273848907,21266233109,47115546735","63278927825,62043684588,59366982668,58171646642,60173125858,89035239414","84242722584,135688673193,81300652111,223632248789,82472576081,87683562933","246331913049,242444378411,452901647874,230154671995,277597848701,644009872481","185505560197,182700059450,265077588441,179634933485,334590854955,182151960883","565791566342,541491881287,1716273676182,520277106222,533616139369,547484782075"
