,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
CYCLE_ACTIVITY:STALLS_L2_MISS,"1567237370,5640765735,2449550620,4879276006,15912619495,12205318892,22825743243,24720098322","14512539034,15947146713,36581736489,151881937657,115970915384,300902843588,175303635042,237777206923","3944195899,3380720046,6277157511,10581520675,27836263657,20674358115,41901049651,64533793859","24778559982,137568082181,43854871737,90860601480,191669774001,220754954433,349303706563,546508626708","5105438903,5480779713,21445153267,31618809709,52541639403,33103958787,58296925078,77575439380","38011035201,43561651097,66355322324,118564159695,348912376906,248090869180,319020806913,454209691016"
CYCLE_ACTIVITY:STALLS_L3_MISS,"774421200,1346574061,10214831826,7726732959,4409114009,5343925273,13907179697,9867921153","10136334109,12736650594,21057642068,122769498311,150477422178,59441154281,306220619959,96391437255","2503309913,8837727626,25202687077,7256866294,18244269820,10297407119,17890895466,96274427808","17607966594,20315521854,94468318460,73321409454,97729859062,253969712686,178229906114,556569548984","2867023887,3305148595,5512681522,11096855589,29473818628,51788662624,62087954049,42621220521","26721025675,32417351850,336911522308,96489949855,448571189320,837182422308,135636711937,508180612783"
RESOURCE_STALLS,"3600112709,8177937722,7644785888,17115397471,26415832302,29410511904,20759591348,54638485636","40349760429,60535984005,98429416198,193202302138,199879979640,259981171199,391920237495,344159563346","6476448117,13673450984,22799541817,38715737414,38477132748,32542987898,43885152228,94981726793","69380676475,101020564239,183438176523,316600046076,455365170858,587625564378,386325372109,683542619049","10080201973,12926336339,19194355474,32663565876,65071971706,47339559457,82418907032,58463297681","99257853280,233151339555,307954651563,387639511545,546892345232,922139993685,844173720529,751384457646"
L2_RQSTS:ALL_DEMAND_DATA_RD,"294859445,369989654,388506398,416053955,471242384,490935676,411255343,377643624","1717108749,3356488091,3497511410,3649265031,3921630277,4162430583,2620805761,2244351868","473339981,620068569,679880911,720264136,810187268,866228563,674588219,637907734","2756639079,5702114956,6049652733,6265245378,6748771825,7156773288,4868141812,3849352255","643019963,856642165,942839034,1003892790,1125189930,1202087284,1015039627,878199837","4048682402,8064474248,8475239616,8862577553,9444757102,9997066675,6630257201,5412453842"
L2_RQSTS:DEMAND_DATA_RD_HIT,"181529785,7157270006,7375412076,10142835796,14498736322,6910322559,37545884037,37528527128","1278079254,3180343366,3354048742,87403111908,57889886043,185270363246,251171623802,2007547210","313608297,550294353,5155165310,656110577,732415597,22679898394,61818957315,27511313671","2023043698,5362682039,5736321197,29847887444,6343103975,6619118985,4471955828,642999980720","403303915,730067186,30511765845,886825166,19125377329,21770821241,894346016,52080031864","2946878763,7421623896,7920220100,248540328364,8809981749,9288621822,362398519204,28514529038"
L2_RQSTS:DEMAND_DATA_RD_MISS,"113236323,35911722,22025427,23093165,32808900,40137143,35786096,30674783","438910923,177599052,143629668,156002055,196692114,241826930,251334292,265727308","159181117,68150456,62474287,68320109,77573914,87023002,66571849,62825508","736126122,340981675,311463248,372234190,402268677,435209757,417404239,472063358","240565370,128218571,117394611,121809095,135362325,148167721,117136346,113906824","1095174496,642388641,562232791,610775762,634592943,708524322,626523394,679370915"
L2_RQSTS:ALL_RFO,"65789476,68454212,72245827,74268791,81847652,86830231,73183433,70329924","913426864,938380844,966617999,987793935,1020404284,1049248219,755138116,622591116","109352753,112558716,117946580,122800380,131080856,138340980,117670697,114045099","1544078665,1574960623,1628316553,1659015209,1705497872,1706043636,1261852096,1038003319","150790088,156155423,162446822,169387405,182537333,191975433,163585264,154647455","2178477353,2217610478,2298816166,2322801531,2387992129,2461057142,1772554881,1452358890"
L2_RQSTS:RFO_HIT,"58505839,63450440,65550436,66994476,68573859,70636815,59638153,57829126","819872169,869431135,918151855,928752896,944966316,949402051,677943695,544721789","97737089,105063030,108179914,109631398,112327161,115869959,97864734,94211645","1372186853,1468077112,1558703561,1568207698,1602163733,1596210339,1142148030,915187700","132425831,144460642,149302610,151680061,156959687,161265388,137047844,131928836","1957469518,2056528329,2184203376,2197364696,2250686462,2248378776,1606270675,1285058376"
L2_RQSTS:RFO_MISS,"7124883,4963130,10869764207,7283480,25322878265,9245202958,13145240571,36152461135","93572747,53878807031,48425883,58495809,138957974324,243983330367,118307153495,132061756196","11614897,8023666900,13342883171,13221192,18704378,72966145469,15633761409,42841629430","171815487,85776986059,70192227,91999029,104512404,359980419032,437721924803,155353556310","18378285,11664478,13876709,20558753440,5965104033,39029328679,47614210602,64301398840","220340029,125255621171,300649372515,279387622161,138318987,211840964,166360261,166101142"
L2_RQSTS:ALL_CODE_RD,"222862,413203,652714,914664,1297083,1524186,1145591,861167","2029763,3097395,4096427,5842579,8323465,10872256,7988038,6026318","378748,637312,857687,1160882,1625867,1820742,1268179,1102808","3324201,4328269,6176442,8353007,11123184,14123816,9962182,8709753","482846,850246,1117153,1573865,1903847,2129503,1747529,1408242","4842868,6309761,8519801,11163437,12423730,16394272,13101283,8849488"
L2_RQSTS:CODE_RD_HIT,"374,7796,19500,38449,99737,204012,186718,97969","3148,31461,84917,176148,371122,803777,1186287,724731","558,7512,22974,64042,132988,213600,188189,136540","4545,30321,150026,261351,664714,1139848,1350035,1077589","626,10277,35371,106737,160821,257124,290285,218178","5422,35967,176720,359603,600727,1489561,1553856,1107688"
L2_RQSTS:CODE_RD_MISS,"232438,409361,635186,871606,1199422,1382511,883870,746165","1958260,2983494,4017046,5602024,7781077,10123559,6867057,5261500","380117,627271,830261,1179402,1509712,1618814,1039852,1010037","3430230,4397304,6325494,8209781,10428574,12124760,9392149,7537672","473710,867608,1090509,1437655,1758753,1902228,1465037,1237731","4586409,5923344,8213865,10926860,11898705,15429274,11398442,8242075"
L2_RQSTS:ALL_PF,"1024590485,1315099414,1314872598,1301272268,10886094742,23873440654,19010532111,18132996661","13707247753,37986365510,17015547542,16871334567,132261800109,93755978494,122268761573,273466988021","1735657532,12430004595,2202441923,2194209250,34978798000,34926708592,66232174220,29965836113","23818920853,136280940094,168389655836,209959594991,28679731190,539419574392,504884198480,428888932485","2523484307,3202729007,37562614816,26109935767,31678697793,3426088658,12634100202,23591210260","33296396264,151954143351,191489959973,203340767734,438125117649,679808331575,522627715262,420214243008"
L2_RQSTS:PF_HIT,"692453232,942556401,955502225,9763411939,5618926440,8894509752,838973548,12869102827","9746223046,13446320763,13333561060,13215525280,13170123357,81747983107,58694148968,55148638141","1165167966,1549654467,5586231758,1439479778,13672839939,33542028265,16916010503,30678171819","16899058154,22734161789,22163266230,21921706307,21895276518,104223487865,16108051538,654537915124","1679601919,12810461465,2111650560,39193442739,44297873705,34101968707,1837245947,12557580270","23503846254,32219080819,61821257346,228340175485,323999144108,32129236827,226238100488,160440704624"
L2_RQSTS:PF_MISS,"333171343,374699238,360295030,368239206,437200290,461144384,384921216,366008370","3960697039,3970319485,3684685664,3660185392,3747069332,3908089031,2852148507,2129080462","571001779,673654070,717258450,756044825,839525802,891185867,748868554,734457630","6925486954,6968976484,6778805392,6644209736,6772041546,7110464748,5284643527,4196246767","843118924,970275214,1052386875,1100754204,1239666822,1304987978,1137894867,1081035601","9788169028,10011606589,9680633434,9617972698,9758788493,10225206490,7698810064,6223954983"
L2_RQSTS:ALL_DEMAND_REFERENCES,"350901753,438989525,461278000,492035171,553180123,586098432,467224353,443362702","2632169714,4299128553,4463480377,4630422559,4957387768,5232645281,3567401833,2854192847","582940835,734261722,796868907,848359579,942572543,1003622759,786084322,743910330","4304394377,7282434382,7675866909,7948210207,8459274749,8909906254,6048628541,4926394103","793814077,1011336504,1097986056,1168212008,1306700267,1393803133,1160185857,1042146888","6224800018,10276928769,10763567866,11188362691,11863580507,12472202689,8521246637,6827598684"
L2_RQSTS:ALL_DEMAND_MISS,"108874364,4558483028,29222265,15667252304,4796131811,24621752697,35907649115,48143863402","534192843,247276148,122359018245,217824739175,27227855590,305380564449,323044405,250644894755","171764450,76024756,15504894858,21141416508,26176421226,110285151,260016685047,64223410646","906326144,450055894,224854593713,211938903192,106281550211,645865302,553823441,671659882","258973154,134810278,129616369,23957799157,26053303203,31746394841,100811542105,181111196977","1318563164,125920763916,168638860788,738247352,800969816,253083066980,319574655269,928444433111"
L2_RQSTS:REFERENCES,"1377104928,5601058403,10267461994,1793445448,1904696609,22039697920,14975165597,22808747844","16340767597,21712882159,144010491159,118623097643,134336451990,197508832566,105569170883,288926302206","2318632302,2955241086,12719297489,3042190599,16629981872,3380334411,7597101133,38673903831","28117377164,36973826866,36611520905,387129576705,189422533616,153143166894,187808383148,608475489401","3317620993,4209270965,4260312936,23915743939,4556291272,4817505486,20953833699,82675604581","39545732374,162098175499,110181660662,51859431740,52766344842,148007095675,168436179425,92385940749"
L2_RQSTS:MISS,"442226721,4943359773,389191795,19648257314,26571183893,518287181,6747629227,11508988149","4498236239,4217748397,100508669554,3877489071,179588435315,4256016627,134556900164,181078019591","743292666,749025819,18023888732,838876393,46688069197,19265208833,14454631556,38227701216","7823693966,7421149215,7167704265,7110947446,7290525264,7756174566,22993798366,391665736387","1102690923,1105289757,16437856180,1264482794,87720716152,19366476459,85149506519,46998698271","11119124917,10812570744,10354464329,10360930296,10559416909,282402742712,8474190551,540985603589"
OFFCORE_RESPONSE_0:DMND_DATA_RD:ANY_RESPONSE,"125051486,56704541,7214048043,3976574915,24232050403,58894615,7447656655,19029640936","530926298,268758835,212555972,227488653,104824962363,59438439282,286617726,26527717978","203143871,3948975830,8969103071,18682976900,20650254528,8323569419,10781017855,101835216","900691466,43272466521,91022300290,562400498,285993285671,651337000,50642389351,128573285993","319837871,187059770,28365744879,233797618,56385517716,51286766119,13753600638,161824911","1404448991,198022684613,868780791,945043682,108971300464,269541255450,875047793,562115409633"
OFFCORE_RESPONSE_0:DMND_RFO:ANY_RESPONSE,"9423242,7267012,9585837504,8758292,16037447421,5347708975,13529640048,15332093","114457558,86085734,60720125,69935410,176218766157,61697935126,221419324671,264140275514","15319600,11032339,13975548,17353301,14190236113,26440080,52194065799,21914725","207347083,139186836,89736241,109819427,119905220,108943314919,394991937253,178159972951","22970997,16887861,22068100088,26361143,41139640012,36653290,31394666,110869243218","264537201,210370214,202174590112,161746196745,170451405,239210150,255739752483,187022438087"
OFFCORE_RESPONSE_0:DMND_CODE_RD:ANY_RESPONSE,"227536,408278,8340621699,865123,1186866,7906067260,26432130237,3641072136","1956412,2924685,4167440,5528045,7929221,51355754253,6741321,282267778339","380004,608537,821749,14014339776,1469690,1583380,1105912,5082234208","3399584,138207715836,23435219393,8006452,10283040,12636423,8796326,460780574032","461490,833356,1023266,1362271,1698625,19557723959,78735913359,58914722182","4769892,6187243,269478309895,447303653989,332786201578,369093951466,116643237328,518108177120"
OFFCORE_RESPONSE_0:PF_L2_DATA_RD:ANY_RESPONSE,"226926831,273635020,265969219,269281858,12271797298,8289543514,15283277115,7328047357","3053253459,55207297616,2870659661,2774492061,2729789213,2734801431,1956304413,260427320945","393700278,495034587,526303979,28527664428,8831132496,29221052945,20090039577,532294188","5282305124,5478029435,121822872293,5014750639,4979537852,5087208175,50385863747,200426315224","585195639,17706692549,19341652681,774277799,20087150355,910192796,13437616163,51697218736","7503134159,7785215473,7588711043,229492340012,245440743184,119465717287,5448661424,248623956060"
OFFCORE_RESPONSE_0:PF_L2_RFO:ANY_RESPONSE,"38901750,2286492648,9612288602,5364138791,59929697,8286408951,59281471,14955672519","225818316,254254418,250576691,94727363363,388529600,64102037606,107584506273,166088855214","61128074,66683822,76221218,85916052,112264546,135498278,111461055,35960325985","387444267,134155374446,444662879,519722371,105689556729,751495679,148100426037,313178051409","63447570,79142035,95956580,23580903268,155363526,54704552918,27690701956,36638413560","429676526,126202932394,203380017927,653525255,835952215,474245683698,772819703,213228316726"
OFFCORE_RESPONSE_0:PF_L1D_AND_SW:ANY_RESPONSE,"41228758,36460833,36706520,41899950,44266349,8108326266,35701128,10370480027","567137182,79528390895,28371155735,495553995,548539511,82435946428,74994020289,142762149527","69300561,64819362,66192826,75436085,83201638,10494585092,69403880,14470496492","1040235556,841736930,258784296242,186424946378,131669182778,279624102060,162172133681,259910528121","110383828,6295845646,22284522517,17950679007,121813989,3093596749,38569285626,44301534332","1502741368,1258250827,1154126765,213246665860,259262685594,498438230602,76233631180,195203837725"
Runtime,"1.76217,0.725926,0.403473,0.401208,0.43771,0.467246,0.487965,0.67289","21.7074,8.15565,4.33949,4.16744,3.59725,4.01522,4.05534,5.24016","3.21618,1.21534,0.749284,0.768403,0.719746,0.75965,0.976727,1.00771","37.4526,13.7291,7.36421,7.33944,7.12524,6.69827,6.6313,9.42271","4.58517,1.79069,1.04847,1.06127,1.06976,1.0736,1.25125,1.53444","53.0886,20.3458,10.7212,10.0751,8.73738,9.34103,10.031,10.4998"
