,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
L2_RQSTS:ALL_RFO,"65994139,68582259,72521763,75979863,81556243,81277005,73168531,71105881","916357742,941639522,971245229,988767152,1025992297,1052648724,766440406,603482163","109440683,113334443,117654698,121988928,130976037,137897403,116270286,114041963","1551699998,1587081876,1629474524,1663253572,1711593041,1749981462,1257285635,1051606827","150157844,154968063,163626036,169772486,182355097,191872167,162095468,156483210","2197118576,2227881210,2281183434,2322418804,2395156317,2444859063,1765048632,1443899465"
L2_RQSTS:RFO_HIT,"60492190,63438894,65739065,66872053,68633314,70433343,59342547,58419563","824806589,870441700,922946898,928534047,947234536,950617010,678676718,546761173","97818419,105141683,107821512,108975503,112601315,115454065,97820513,94200006","1413074070,1474500425,1556748456,1564268431,1599471295,1598734076,1141813887,917311758","128777038,144657168,149669607,151656407,156464043,161763368,136377318,131276581","2028038577,2053718782,2182892389,2199061700,2247037157,2257917524,1605464359,1290292366"
L2_RQSTS:RFO_MISS,"5749689,5123116,5128207985,9121817,9024654422,10819706,12851928,76356562174","91510658,51789126044,101790956515,59920848,79212649,102019986,110290007808,264323984187","11616394,11895076719,9179836377,40999778264,11093750978,10181500377,2172716741,19924553199","138608127,131488502618,196587857008,133958031267,113647714,117261563359,331750238599,278370840771","21350552,10975819,37023116761,17889389,49953193596,30206476,6461292292,88930620121","169036202,174017581,100473182,230934801174,315654304380,233556420537,153303224,477553290856"
L2_RQSTS:ALL_CODE_RD,"225323,457176,684445,925395,1328633,1530372,959748,876248","2039562,2861426,4495769,6220414,8162562,10306003,6992074,5496384","331544,659426,911124,1213122,1655813,1918627,1270297,1092072","3189213,5129351,6307608,7950336,12430549,14013725,9648310,7265784","464499,869836,1177785,1514715,1982590,2288540,1491490,1434617","4729228,6551027,8475973,11390181,14452285,18237061,11933145,9796847"
L2_RQSTS:CODE_RD_HIT,"439,9742,20833,36832,86577,168545,75950,91330","3213,30953,96998,202985,361457,687042,611354,555915","309,8872,33618,84739,144208,225606,133084,109760","4893,31019,133744,294516,864378,1192477,1127795,706316","464,10474,47554,94702,184613,306529,174786,172920","5180,53549,190621,357006,833691,1896193,1661880,1109474"
L2_RQSTS:CODE_RD_MISS,"226576,450268,656936,889036,1232432,1355200,839029,739768","2050142,2847484,4362001,6156856,7705416,9553009,6240781,4840504","324355,669745,861382,1131213,1506946,1670450,1143168,983846","3275825,4968581,6262644,7504764,11087700,12962793,8733012,6704095","451180,859698,1122132,1439663,1751726,1928671,1323993,1181428","4630269,6662633,8125966,11028710,13383466,16105752,11009676,8567506"
L2_RQSTS:ALL_PF,"1014812226,1321755283,13957274722,10445322953,15312505863,10003202846,7865136273,21155184993","13641162991,60829234507,130494939534,16834943644,110542335711,149661671577,100568114667,148238738763","1739760858,8714050822,2216295263,20214022135,35200590526,8824274366,49864214098,4363096408","23556910151,29614777433,28849552409,65196090633,28769093879,291216250794,374939677442,17040202419","2535247451,8053752484,3146180244,37152096937,3271105242,3440539752,82142821460,75646974789","33408062036,147335258502,346486164811,319160481713,40936033726,631729549337,121614654027,24289881589"
L2_RQSTS:PF_HIT,"696163073,944648497,10909212781,9026393450,23836482186,936892645,44590244806,28499585834","9709656667,13471094245,13295935413,197557948107,13341784306,288396392702,40420422396,106535399292","1171146779,1550152311,1493166297,34146935449,20992305040,44694237613,10429373745,26350515749","16837739746,60997854833,22108502773,21987351699,21927164846,215238744326,326881809313,251655549910","1682052221,2209084248,25106654982,30071380875,2027159613,53076043275,5250827842,64109946696","24138212907,32207745764,376465068670,325425253327,262514400731,208045731351,43957256688,354953015742"
L2_RQSTS:PF_MISS,"319354156,376332002,356763942,389723934,431073803,435086307,375549832,370009236","3928688843,3953645020,3665554775,3658095713,3742832479,3918493757,2698139853,2061449898","568607382,676306027,722442594,763107854,846967305,900392641,743984563,708416520","6712287106,6916930289,6751228129,6728737486,6832765690,6928601070,5256685720,4195969847","854893626,969509871,1047837092,1122522552,1242529799,1324729556,1093155691,1102849994","9270674928,10004295799,9621554086,9585105378,9765967689,10151319946,7512375355,6062237542"
L2_RQSTS:ALL_DEMAND_REFERENCES,"349947388,431338511,461500132,494626124,552654229,575402527,465404394,450658284","2619593578,4312793975,4471663161,4662021451,4936134762,5201867556,3462460372,2694573007","580861480,731287758,791174426,844186112,943924713,998328937,783482488,744322450","4326035847,7341455350,7680893678,7946576309,8496832118,8944233947,6169272827,4903359200","798105685,1016265884,1102384495,1180979865,1304418058,1396451587,1076136481,1040462886","6109621384,10301585479,10791376403,11157136594,11876520441,12524719489,8437587747,6788064625"
