,30kx1k,30kx4k,50kx1k,50kx4k,70kx1k,70kx4k
CYCLE_ACTIVITY:CYCLES_L2_MISS,"2140562460,2271824755,4777613367,14288920760,13023001742,16247355708,13970202274,26087651665","16697152729,62003177400,34997677010,130877447845,89821587696,313714659481,97220591951,470866059540","4028314714,4300566689,16834915253,11319664258,18703498851,24791815318,25909918854,107502781315","30729757160,34541779654,51305809717,94358339161,179055072479,241830264717,320324767927,469063310950","6451176054,6437705405,9395812478,22828944531,32800241898,47897305182,56327095319,96576194888","48168655220,52279781265,83523052361,137272685784,329411724469,623793973314,648483718896,429969492429"
CYCLE_ACTIVITY:CYCLES_L3_MISS,"766507149,3250584442,1690225835,3144521248,4077571001,4924789402,14149578828,31262600859","10492858611,14029925964,58457327419,165443525250,57603479292,59802384442,191768784512,284670840397","1829518050,2626841379,4157360517,7522262775,10859336487,23686100473,28766311218,36137335402","19889177381,141520395201,157489905304,74590009197,115337012471,124610900210,386359223769,126217004688","2995936885,12867763086,16934153212,7808609035,31961263705,38640824814,17345299732,62726704069","30517270900,36619037366,64738451642,399858749984,136979635833,157211423154,711300607964,275262550957"
CYCLE_ACTIVITY:STALLS_L1D_MISS,"2591606998,3457717452,4973968813,15099798610,16194880221,15821452589,35806879011,17779414875","26997728326,73599617449,100545650485,126696093333,196692528862,284967094974,197554302205,445186291323","4826216999,6472584237,10619613467,32214019063,32851366935,50193891999,36163386654,35631554428","50031643249,73902148105,198179527773,235063668972,428793344755,646526516092,408991078079,815603756049","7049110782,9037402613,15529841599,21216337136,37474206601,39468022854,54906817900,54639020579","74499480534,104192567948,228005400248,367502970851,596121215913,859142976797,479472633553,799880390214"
CYCLE_ACTIVITY:STALLS_L2_MISS,"1557257973,1833107842,5437546307,4472140093,19496210192,13390995052,47857031358,31326752827","13163571087,15919271131,34825901501,46990807744,85047731323,239414790850,89667655120,246017800811","3026326819,3488127684,7004269899,10286204429,48873779706,43703033095,48065326484,28752006714","25883850483,28593001724,45154234105,87705041749,306559323461,223260361478,328864756501,461753960476","4869379527,17807884834,7892155492,25920078212,19897063416,65090894299,41734137340,110304615840","39140971208,43882173853,80655758836,132201426578,279208352885,653065545364,701782918901,1490809588705"
CYCLE_ACTIVITY:STALLS_L3_MISS,"775208427,1224189143,1565848343,2993206664,3857340248,16275777465,6133819723,5735560765","9556641440,59363829484,29525031619,164334722109,127499288483,139968970124,49817697632,183318615789","1624655460,12361125278,3403577536,7186120449,25514735143,12068344869,10352296751,29293416000","17401174813,103696226244,37150348786,323750906452,408312097774,217045680354,359783628476,702287508594","2628187875,3387243397,4981619708,39737881414,11345935210,14642519971,87510536372,62678198220","28332096984,34627665016,253773528968,106229147210,132768323306,290362137477,424090692323,727557886869"
RESOURCE_STALLS,"3794104269,5073165515,12785602959,9384443099,18885764294,14788761125,24853052451,28713431608","38106488377,60819773457,129894436055,157042638028,242596498629,270237679035,241509888043,375289226815","6431801363,9077173795,25494845288,33559484069,56935503807,32973002153,50006343330,59422594510","70327085240,144077988214,163560149224,310859110024,522453268409,628609117540,407998600779,626291165412","9252743502,12528067933,21027789879,24949319940,34353186485,58489538399,85715378539,93012944215","102405442837,177437275083,292559249598,435326695409,568138513044,751969087483,637712871681,922361074053"
L2_RQSTS:ALL_DEMAND_DATA_RD,"282465648,367385397,390655736,419500024,473023948,490819886,392915679,359441339","1650178221,3385340890,3516144852,3642360420,3935178550,4166765662,2813404798,2272488290","474488042,617559523,676815881,727625857,808007644,866645395,709543287,641025152","2849833994,5727365572,6051317116,6299043754,6800685024,7038015128,4834468750,3650696299","677077477,864242014,936806550,988697793,1128437187,1208385266,965058573,879956720","3962675159,8079377053,8471236174,8840189274,9508979658,9851137500,6550535914,5138759848"
L2_RQSTS:DEMAND_DATA_RD_HIT,"183290905,6693443808,5295482783,394545371,441478353,4084732708,9588690367,26568742971","1164943593,78350022460,66184510533,3493691175,94229739789,122666707037,2600851328,110469111469","314446537,550672129,615213313,660777411,43789017207,11278242104,50574025882,8210457586","2110703197,5363472661,5716063493,5942162403,493169392065,250592751257,87680501558,368967535973","395530052,731521389,32409376378,869047041,31714877656,65105442385,83164239247,4143725893","2876277428,193660707689,7914176038,8202683665,262571894751,248693367906,283947475926,317575356215"
L2_RQSTS:DEMAND_DATA_RD_MISS,"99148587,33700283,22414602,25525723,32102395,35110485,36686379,23645456","485174378,179522169,144679587,154995665,195962228,239526067,228628179,238998895","160115385,66899019,60008277,67308876,73242705,80568664,66087778,68727760","736839218,363160184,334249088,357854201,396693154,442671411,430790620,413814699","281926703,131322291,123381097,121792817,131393869,134640861,112584320,102029261","1083860146,642994460,555358162,634936107,645844577,637923700,621536434,593938737"
L2_RQSTS:ALL_RFO,"65627328,68730453,72836997,75997547,81632580,85801999,73597626,65411915","920895510,938705812,972793992,990906389,1022681569,1050956271,758344209,630599539","109178643,112588355,117873615,122750566,131238125,137805517,117683254,113877102","1552405070,1576187428,1632045893,1658148872,1710910489,1711493206,1257872370,994218153","151763792,156090109,163669940,163894199,182440161,193271439,161001484,157032795","2178662951,2211545703,2288650863,2330938211,2401087224,2392474374,1705941648,1381004238"
